Deal ID,Product,Country,Client (Person),Client (Company),Bank Employee Contact,Start Date,End Date,Deal Type
44,Shipping Companies,Australia,Ashley Martinez,Morgan-Rivera,Tracy Simpson,02-04-2023,01-07-2023,Public
45,Investment Management,Canada,Sara Miller,Caldwell Inc,Wayne Barnett,07-01-2022,07-04-2022,Public
46,Banking Services,Bahrain,Jodi Fuller,Arnold Group,Laura Young,10-10-2022,08-01-2023,Private
47,Precious Metals,United States,Cristian Garcia,Chang PLC,Morgan Smith,22-04-2023,21-07-2023,Public
48,Mobile Phone Operators,Canada,Gregory Hood,Adams-Hall,James Hebert,08-03-2022,06-06-2022,Private
49,Pharmaceuticals,Japan,Danny Williams,Watson and Sons,Jesse Mullen,29-05-2022,27-08-2022,Private
50,Electricity Providers,United Kingdom,Laura Travis,Brown-Davis,Christy Taylor,18-04-2022,17-07-2022,Private
51,Insurance,Mexico,Sandra Simpson,Williams Inc,Lisa Beasley,26-05-2022,24-08-2022,Private
52,Sports Equipment,United States,Jordan Camacho,Morgan Inc.,Sara Baldwin,21-01-2023,21-04-2023,Public
53,Television Networks,Bahrain,Bruce Bailey,Hill LLC,Dawn Willis,11-02-2022,12-05-2022,Public
54,Electronics,United States,Teresa Morton,Moore LLC,Teresa Perkins,29-08-2023,27-11-2023,Private
55,Electronics,Jamaica,Tammy Rodriguez,Carter-Brooks,Jennifer Davis,28-05-2022,26-08-2022,Private
56,Internet Service Providers,Hungary,Mark White,"Glass, Gonzales and Henderson Denise Payne",Denise Payne,14-08-2023,12-11-2023,Private
57,Mining Equipment,Bahrain,Mark Osborne,Marquez Inc,Dr. Kristin Rowland,14-01-2023,14-04-2023,Private
58,Cable Companies,Canada,Richard Cannon,Joyce-Lopez,Glenn Vargas,14-02-2022,15-05-2022,Private
59,Pharmaceuticals,United States,Marco Smith,Klein PLC,Kyle Murphy,04-03-2023,02-06-2023,Public
60,Universities,Uruguay,Ruben Dudley,Stevens and Sons,Harry Ray,03-03-2022,01-06-2022,Public
61,Water Companies,United States,Austin Martinez,Cobb LLC,James Santiago,18-07-2023,16-10-2023,Private
62,Commercial Property,Canada,Stacy Stephenson,"Shaw, Hale and Ross",Justin Harrington,06-06-2022,04-09-2022,Public
63,Pharmaceuticals,Bahrain,Roger Day,"Guerrero, Flores and Carter",Shelby Pope,03-03-2022,01-06-2022,Public
64,Shipping Companies,Germany,Antonio Bauer,Hahn Inc,Richard Mason,11-06-2023,09-09-2023,Public
65,Home Appliances,Japan,Nicole Clark,Banks-Gray,Dana Stout,23-12-2022,23-03-2023,Public
66,Mobile Phone Operators,Germany,Mark White,"Glass, Gonzales and Henderson",Kevin Joyce,11-12-2022,11-03-2023,Public
67,Oil & Gas,United States,Carolyn Page,"Clarke, Frank and Hayes",Stacy Lopez,09-10-2022,07-01-2023,Private
68,Electronics,Singapore,Denise Carpenter,Daniel Ltd,Michael Kelly,07-04-2023,06-07-2023,Private
69,Internet Service Providers,United Kingdom,Mark White,"Glass, Gonzales and Henderson 1",Theresa West,14-06-2023,12-09-2023,Public
70,Chemicals,Japan,Jennifer Roberts,"Dean, Skinner and Lee",Vincent Robinson,15-10-2022,13-01-2023,Public
71,Home Appliances,Japan,Christina Austin,Banks-Gray,Rebecca Jones,31-05-2022,29-08-2022,Private
72,Electronics,United States,Teresa Morton,Moore LLC,Debra Murray,22-01-2023,22-04-2023,Public
73,Banking Services,Jamaica,Joshua Hunter,Williams Inc,Patricia Williams,28-12-2022,28-03-2023,Private
74,Food & Beverages,Ireland,Karen Valdez,Torres-Hobbs,Gregory Taylor,06-08-2022,04-11-2022,Private
75,Electronics,Singapore,Mr. Douglas Moore,"Hunter, Rivera and Hardy",Benjamin Moore,16-09-2022,15-12-2022,Public
76,Wealth Management,United Arab Emirates,Jodi Fuller,Arnold Group,Geoffrey Nguyen,06-07-2022,04-10-2022,Private
77,Restaurants,Canada,Jerry Santiago,Johnson LLC,Mariah Phillips,26-04-2022,25-07-2022,Private
78,Shipping Companies,Hungary,George Lee,Hahn Inc,Jennifer Thomas,02-08-2023,31-10-2023,Private
79,Insurance,Uruguay,Joshua Hunter,Williams Inc,Mrs. Donna Higgins,18-11-2022,16-02-2023,Public
80,Pharmaceuticals,Uruguay,Steven Phillips,"Turner, Becker and Lopez",Stephen Koch,26-04-2023,25-07-2023,Private
81,Pharmaceuticals,Malaysia,Danny Williams,Watson and Sons,Christian Ramos,04-09-2022,03-12-2022,Public
82,Online Education Platforms,Bahrain,Kara Martinez,"Stone, Martinez and Taylor",Karen Thornton,21-01-2022,21-04-2022,Private
83,REITS,Hungary,Erin Hunter DDS,Harvey-Brown,Katherine Carter,28-03-2022,26-06-2022,Public
84,Mobile Phone Operators,United States,Richard Cannon,Joyce-Lopez,John Bennett,21-10-2022,19-01-2023,Public
85,Insurance,Uruguay,Sandra Simpson,Williams Inc,Cynthia Jennings,13-04-2023,12-07-2023,Public
86,Commercial Property,United States,Stacy Stephenson,"Shaw, Hale and Ross",Patrick Griffin,25-06-2023,23-09-2023,Private
87,REITS,Canada,Stacy Stephenson,"Shaw, Hale and Ross",Danielle Watson,27-08-2023,25-11-23 1,Public
88,Water Companies,Hungary,Jeffrey Simpson,Obrien-Perry,Jason Peterson,22-12-2022,22-03-2023,Private
89,Insurance,Mexico,Timothy Butler,"Johnson, Wright and Hayes",Paul Paul,09-09-2023,08-12-2023,Private
90,Oil & Gas,United States,Carolyn Page,"Clarke, Frank and Hayes",Todd Murphy,26-01-2022,26-04-2022,Public
91,Pharmaceuticals,Bahrain,Roger Day,"Guerrero, Flores and Carter",Stacy Perez,08-04-2022,07-07-2022,Public
92,Music Labels,Malaysia,Mr. Jim Bender,Avery-Green,Robert Compton,09-07-2022,07-10-2022,Public
93,Pharmaceuticals,United States,Roberta Jensen,Walls-Winters,Richard Lester,06-06-2022,04-09-2022,Private
94,Pharmaceuticals,Cameroon,Roger Day,"Guerrero, Flores and Carter",Leslie Rodriguez DDS,25-06-2022,23-09-2022,Private
95,Casinos,Canada,Michael Schaefer,Johnson LLC,Kimberly Moore,24-03-2023,22-06-2023,Public
96,Health Products,Japan,Lindsay Pierce,Oliver-Cole,Julie Johnson,03-10-2022,01-01-2023,Private
97,Pharmaceuticals,Malaysia,Shannon Walker,"Cowan, Ward and Mckenzie",Todd West,05-12-2022,05-03-2023,Public
98,Residential Property,United States,David Brown,"Scott, York and Mendoza",Wendy West,07-05-2023,05-08-2023,Private
99,Home Appliances,Costa Rica,Jesse Simmons,Carter-Brooks,Rebekah Quinn,12-11-2022,10-02-2023,Private
100,Precious Metals,Malaysia,Michael Baker,"Dean, Skinner and Lee",Jessica Schmidt,20-02-2023,21-05-2023,Public
101,Telecom Equipment Manufacturers,s Canada,Michelle Williams,Adams-Hall,Joseph Richardson,30-09-2023,29-12-2023,Public
102,Pet Supplies,United Kingdom,Karen Valdez,Torres-Hobbs,Thomas Herrera PhD,30-10-2022,28-01-2023,Private
103,Home Appliances,Singapore,Carrie Dalton,Newton-Ruiz,Kayla Gonzalez,18-01-2022,18-04-2022,Public
104,Natural Gas Providers,Costa Rica,Christina Arnold,"Garcia, Young and Powell",Tiffany Martin,12-05-2022,10-08-2022,Public
105,Chemicals,Singapore,Jenna Thompson,"Dean, Skinner and Lee",Jennifer Smith,07-12-2022,07-03-2023,Private
106,Home Appliances,Singapore,Nicole Clark,Banks-Gray,Nathan Li,30-03-2022,28-06-2022,Public
107,Pharmaceuticals,Ireland,Roger Day,"Guerrero, Flores and Carter",Joshua Stone,31-03-2022,29-06-2022,Public
108,Precious Metals,Nigeria,Emily Jackson,Marquez Inc,Warren Williams,19-01-2023,19-04-2023,Private
109,Airlines,Mexico,Tiffany Hanson DDS,"Murphy, Price and Berry",Jennifer Tucker,17-04-2022,16-07-2022,Public
110,Pharmaceuticals,Canada,Roberta Jensen,Walls-Winters,Denise Drake,28-10-2022,26-01-2023,Private
111,Chemicals,United States,Cristian Garcia,Chang PLC,Laura Jackson,25-10-2022,23-01-2023,Public
112,Pet Supplies,Nigeria,Karen Valdez,Torres-Hobbs,Jack Dawson,20-03-2022,18-06-2022,Private
113,Pharmaceuticals,China,Danny Williams,Watson and Sons,Elizabeth Cantu,24-06-2023,22-09-2023,Public
114,Casinos,United States,Jerry Santiago,Johnson LLC,Douglas Strong,07-09-2023,06-12-2023,Private
115,Home Appliances,Australia,Amber Lang,Daniel Ltd,Amy Scott,04-06-2022,02-09-2022,Private
116,Health Products,China,Erica Gill,Oliver-Cole,Daniel Wagner,31-05-2022,29-08-2022,Public
117,Automobile Manufacturers,Cameroon,Antonio Bauer,Hahn Inc,Emily Ortiz,04-01-2022,04-04-2022,Public
118,Home Appliances,Singapore,Amber Lang,Daniel Ltd,Ashley White,02-09-2022,01-12-2022,Private
119,Pharmaceuticals,Ireland,Roger Day,"Guerrero, Flores and Carter",Alex Browning,23-02-2022,24-05-2022,Private
120,Airlines,Costa Rica,Tiffany Hanson DDS,"Murphy, Price and Berry",Michael Perez,28-08-2023,26-11-2023,Private
121,Pet Supplies,Japan,Mia Palmer,Oliver-Cole,Miss Yolanda Parsons DDS,19-10-2022,17-01-2023,Public
122,Renewable Energy,United States,Carolyn Page,"Clarke, Frank and Hayes",Timothy Richardson,23-03-2022,21-06-2022,Private
123,Home Appliances,Canada,Tonya Phillips,"Miller, Vance and Meyers",Patricia Stevens,03-08-2022,01-11-2022,Public
124,Casinos,United States,Wyatt Walters,Johnson LLC,Brenda Murphy,01-02-2023,02-05-2023,Private
125,Pharmaceuticals,Australia,Jason Waller,"Cowan, Ward and Mckenzie",Anthony Boyd Jr.,27-06-2023,25-09-2023,Private
126,Insurance,Cameroon,Christopher Gentry,Arnold Group,Amanda Ponce,27-02-2022,28-05-2022,Private
127,Pharmaceuticals,Canada,Amanda Cook,Klein PLC,Martin Frank DDS,29-07-2022,27-10-2022,Private
128,Precious Metals,Nigeria,Elizabeth Nelson PhD,"Cox, Carroll and Murphy",Jessica Meyer,20-03-2023,18-06-2023,Public
129,Internet Service Providers,United States,Richard Cannon,Joyce-Lopez,Alexander Gay,14-04-2022,13-07-2022,Private
130,Pharmaceuticals,United Kingdom,Roger Day,"Guerrero, Flores and Carter",Jacob Rodriguez,18-03-2022,16-06-2022,Private
131,Home Appliances,Malaysia,Carrie Dalton,Newton-Ruiz,Daniel Schmidt,04-03-2022,02-06-2022,Private
132,Automobile Manufacturers,Uruguay,Justin Salazar,Roberts Ltd,Gregory Evans,08-04-2022,07-07-2022,Private
133,Shipping Companies,Bahrain,Angela Mayer,Hahn Inc,Brian White,14-05-2022,12-08-2022,Private
134,Home Appliances,Canada,Karen Orr,"Miller, Vance and Meyers",Michael Wise,28-09-2022,27-12-2022,Public
135,Precious Metals,United States,Cristian Garcia,Chang PLC,Dustin Price,09-08-2022,07-11-2022,Private
136,Mobile Phone Operators,Uruguay,Jeffrey Diaz,Mcdowell-Stevens,Eric Flynn,01-05-2023,30-07-2023,Public
137,Movie Studios,United States,Kevin Terry,"Mitchell, Walker and Burke",April Bowers,17-05-2023,15-08-2023,Public
138,Mining Equipment,United States,Cristian Garcia,Chang PLC,Theresa Young,08-12-2022,08-03-2023,Private
139,Mining Equipment,Canada,Cristian Garcia,Chang PLC,Daniel Parker,30-07-2022,28-10-2022,Private
140,Chemicals,Japan,Jennifer Roberts,"Dean, Skinner and Lee",Angela Hunter,26-09-2023,25-12-2023,Private
141,Precious Metals,Germany,Alyssa Walker,Marquez Inc,Christopher Phillips,12-03-2023,10-06-2023,Private
142,Electronics,Canada,Teresa Morton,Moore LLC,Benjamin Smith II,12-07-2023,10-10-2023,Public
143,Wealth Management,Jamaica,Kyle Wright,"Johnson, Wright and Hayes",Jason Mullins,10-04-2022,09-07-2022,Private
144,Railways,Uruguay,Tiffany Hanson DDS,"Murphy, Price and Berry",Kirsten Perez,23-05-2022,21-08-2022,Public
145,Chemicals,United Kingdom,Samantha Stanley,"Cox, Carroll and Murphy",Matthew Russell,22-08-2022,20-11-2022,Private
146,REITS,United States,Stacy Stephenson,"Shaw, Hale and Ross",Robert Berger,14-08-2023,12-11-2023,Public
147,Baby Products,Australia,Lindsay Pierce,Oliver-Cole,Scott Haynes,11-02-2022,12-05-2022,Private
148,Renewable Energy,Canada,Jerry Leon DVM,Morse-Porter,Michelle Gregory,09-08-2023,07-11-2023,Private
149,Music Labels,Canada,Debbie Cunningham DVM,"Mitchell, Walker and Burke",Tiffany Mayo,05-09-2022,04-12-2022,Public
150,Theme Parks,Japan,James Roberts,Ellis LLC,Jocelyn Taylor,16-07-2022,14-10-2022,Private
151,Wealth Management,United Kingdom,Jennifer Nolan,Arnold Group,Brandi Brown,09-01-2023,09-04-2023,Public
152,Telecom Equipment Manufacturers,United States,Michelle Williams,Adams-Hall,Michael Kaufman,23-03-2023,21-06-2023,Public
153,Music Labels,Canada,Kevin Terry,"Mitchell, Walker and Burke",Elaine Hess,09-02-2022,10-05-2022,Private
154,Chemicals,India,Jennifer Roberts,"Dean, Skinner and Lee",Lorraine Ballard,21-08-2022,19-11-2022,Public
155,Schools,Uruguay,Ruben Dudley,Stevens and Sons,Christopher Ferguson,25-03-2023,23-06-2023,Public
156,Commercial Property,United States,Stacy Stephenson,"Shaw, Hale and Ross",Jennifer Bonilla,16-09-2022,15-12-2022,Public
157,Insurance,Uruguay,Kyle Wright,"Johnson, Wright and Hayes",Joseph Sandoval,25-01-2022,25-04-2022,Public
158,Pharmaceuticals,Canada,Amanda Cook,Klein PLC,Ronald Knight IV,29-06-2023,27-09-2023,Private
159,Investment Management,Cameroon,Andre Green,Arnold Group,Kimberly Guerra,21-04-2022,20-07-2022,Public
160,Electricity Providers,Nigeria,Jeffrey Simpson,Obrien-Perry,Melissa Welch,16-08-2022,14-11-2022,Private
161,Movie Studios,Canada,Kevin Terry,"Mitchell, Walker and Burke",Eric Griffin,04-09-2023,03-12-2023,Private
162,Oil & Gas,United States,Carolyn Page,"Clarke, Frank and Hayes",Mike Galvan,05-09-2022,04-12-2022,Private
163,Pharmaceuticals,United States,Nicholas Taylor,Walls-Winters,Isaac Hamilton,08-05-2022,06-08-2022,Public
164,Chemicals,Australia,Michael Baker,"Dean, Skinner and Lee",Melissa Lin,02-02-2022,03-05-2022,Public
165,Electronics,Australia,Nicole Clark,Banks-Gray,Scott Gordon,10-05-2023,08-08-2023,Public
166,Electronics,Singapore,Carrie Dalton,Newton-Ruiz,Sydney Williams,26-05-2023,24-08-2023,Private
167,Airlines,Uruguay,Tiffany Hanson DDS,"Murphy, Price and Berry",Kevin Valencia,26-02-2023,27-05-2023,Public
168,Pharmaceuticals,China,Jason Waller,"Cowan, Ward and Mckenzie",Michele Harris,14-06-2023,12-09-2023,Private
169,Electronics,Mexico,Thomas Barrera,Smith-Potter,David Mitchell,03-03-2022,01-06-2022,Private
170,Furniture,Canada,Tracy Reese,Morgan Inc,Brandon Whitaker,20-09-2023,19-12-2023,Private
171,Telecom Equipment Manufacturers,Costa Rica,Robert Cooper,Mcdowell-Stevens,Linda Woods,30-05-2023,28-08-2023,Private
172,Shipping Companies,Australia,Ashley Martinez,Morgan-Rivera,Mario Vaughn,22-08-2022,20-11-2022,Public
173,Automobile Manufacturers,India,Ashley Martinez,Morgan-Rivera,Rebekah Garcia,19-09-2023,18-12-2023,Public
174,Automobile Manufacturers,United Kingdom,Angela Mayer,Hahn Inc,Lori Ramirez,05-02-2022,06-05-2022,Public
175,Water Companies,Ireland,Kim Trujillo,Obrien-Perry,Jenna Daniels,15-12-2022,15-03-2023,Public
176,Precious Metals,Japan,Michael Baker,"Dean, Skinner and Lee",Kenneth Harvey,23-08-2022,21-11-2022,Public
177,Telecom Equipment Manufacturers,United States,Steven West,Adams-Hall,Cynthia Rubio,11-09-2023,10-12-2023,Public
178,Commercial Property,United States,David Brown,"Scott, York and Mendoza",Devon Mccall,01-05-2023,30-07-2023,Private
179,Pharmaceuticals,United States,Katie Russell,Klein PLC,Susan Pierce,06-05-2022,04-08-2022,Private
180,Electronics,Mexico,Thomas Barrera,Smith-Potter,Joseph Oliver,29-03-2022,27-06-2022,Private
181,Travel Accessories,Canada,Jordan Camacho,Morgan Inc,Karen Solis,23-07-2023,21-10-2023,Private
182,Electronics,Australia,Carrie Dalton,Newton-Ruiz,Carl Thompson,29-07-2022,27-10-2022,Private
183,Railways,Uruguay,Tiffany Hanson DDS,"Murphy, Price and Berry",Blake Stark,19-01-2022,19-04-2022,Public
184,Residential Property,United States,Stacy Stephenson,"Shaw, Hale and Ross",Rebecca Charles,22-02-2022,23-05-2022,Private
185,Electronics,United States,Karen Orr,"Miller, Vance and Meyers",Brian Johnson,11-09-2023,10-12-2023,Public
186,REITS,Nigeria,Claire Cannon,Harvey-Brown,Sean Sullivan,10-07-2023,08-10-2023,Private
187,Mining Equipment,United States,Cristian Garcia,Chang PLC,Charlotte Scott,13-02-2022,14-05-2022,Public
188,Insurance,Canada,Cody Lin,Caldwell Inc,Rachel Miller,23-01-2023,23-04-2023,Private
189,REITS,United States,Amanda Nelson,"Scott, York and Mendoza",Morgan Garcia,08-02-2022,09-05-2022,Public
190,Telecom Equipment Manufacturers,Cameroon,Mark White,"Glass, Gonzales and Henderson",John Hernandez,07-01-2023,07-04-2023,Public
191,Mobile Phone Operators,Canada,Michelle Williams,Adams-Hall,Becky Rush,05-03-2023,03-06-2023,Private
192,Railways,Jamaica,Justin Salazar,Roberts Ltd,Joyce Jones,28-08-2022,26-11-2022,Private
193,Online Education Platforms,Uruguay,Ruben Dudley,Stevens and Sons,Jason Kirk,29-07-2022,27-10-2022,Public
194,Insurance,United States,Sara Miller,Caldwell Inc,James Robertson,11-07-2022,09-10-2022,Private
195,Banking Services,Hungary,Christopher Gentry,Arnold Group,Joseph Garcia,03-02-2022,04-05-2022,Private
196,Airlines,Bahrain,George Lee,Hahn Inc,Jonathan Wallace,16-02-2022,17-05-2022,Public
197,Mobile Phone Operators,Bahrain,Mr. Shawn Bruce Jr.,Campbell-Morse,Jesus Anderson,24-11-2022,22-02-2023,Private
198,Water Companies,Canada,Jonathan Johnson,Cobb LLC,Eric Hale,20-03-2022,18-06-2022,Public
199,Banking Services,Mexico,Timothy Butler,"Johnson, Wright and Hayes",Nathan Hill,18-07-2022,16-10-2022,Private
200,Railways,Costa Rica,William Howard,Roberts Ltd,Jennifer Brooks,29-09-2022,28-12-2022,Public
